Pitch,Frequency
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,2
53,1
54,1
55,2
56,1
57,1
58,1
59,2
60,8
61,3
62,1
63,3
64,3
65,3
66,3
67,5
68,2
69,4
70,1
71,3
72,3
73,0
74,3
75,2
76,0
77,1
78,2
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,0
108,0
